PROG;MTB_0;MTB_1;MTB_2;MTB_3;MTB_4;MTB_5;MTB_6;MTB_7;MTB_8;MTB_9;MTB_10
boundedQueue;11,3;6,2;4,2;3,1;2,4;1,7;1,0;1,0;1,0;1,0;1,0
cal;2,8;1,0;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Calculation;9,0;6,5;4,8;2,7;1,6;0,8;0,8;0,8;0,8;0,8;0,8
checkIt;1,5;0,8;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5
CheckPalindrome;2,0;1,4;1,0;0,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0
countPositive;1,8;0,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
date-plus;22,3;12,8;9,2;8,0;7,1;6,1;5,6;4,9;3,9;3,0;2,8
DigitReverser;3,8;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
findLast;1,8;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
findVal;1,3;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gaussian;6,0;3,2;2,3;1,9;0,9;0,0;0,0;0,0;0,0;0,0;0,0
Heap;9,5;3,3;1,3;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5
InversePermutation;3,3;2,1;1,2;0,6;0,1;0,0;0,0;0,0;0,0;0,0;0,0
jday-jdate;8,0;5,0;1,5;0,9;0,5;0,3;0,3;0,3;0,3;0,3;0,3
lastZero;1,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LRS;9,3;5,3;1,8;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
MergeSort;5,8;1,0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
numZero;1,8;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
oddOrPos;1,8;1,1;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
pcal;34,0;23,8;15,6;10,9;9,8;6,9;4,0;3,2;2,9;2,4;2,0
power;2,3;1,2;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
printPrimes;6,3;1,8;0,6;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3
print_tokens;56,8;22,9;16,3;13,9;11,3;9,5;8,9;8,3;7,6;7,1;6,8
print_tokens2;58,0;32,9;15,9;12,9;10,0;8,4;7,7;7,0;7,0;7,0;7,0
Queue;12,8;9,5;7,1;5,5;4,1;3,0;2,3;1,7;1,4;1,0;1,0
quicksort;5,5;0,9;0,4;0,3;0,1;0,0;0,0;0,0;0,0;0,0;0,0
RecursiveSelectionSort;3,5;1,1;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
replace;64,0;34,8;26,6;19,9;16,0;14,0;10,1;7,8;7,4;6,0;5,6
schedule;37,0;17,3;10,6;6,9;6,0;5,7;5,1;4,6;4,3;4,2;4,1
schedule2;35,8;20,2;15,8;11,8;10,4;10,2;9,6;9,0;8,7;8,3;8,0
Stack;12,3;7,4;5,5;4,4;3,2;2,7;2,3;2,3;2,3;2,3;2,3
stats;4,3;1,4;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5
sum;1,3;0,8;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
tcas;11,5;9,1;7,9;6,8;5,8;4,8;4,1;3,5;2,8;2,6;2,1
testPad;4,0;1,7;0,9;0,5;0,3;0,3;0,3;0,3;0,3;0,3;0,3
totinfo;31,5;22,4;16,4;10,1;8,7;6,4;4,6;2,8;2,2;0,8;0,5
trashAndTakeOut;3,8;1,2;0,5;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3
twoPred;1,8;0,7;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3
UnixCal;25,3;15,0;9,5;7,1;4,9;4,0;2,9;1,8;1,0;1,0;1,0