Operator,NON_EQ,EQ,TOTAL
CCCR,13,2,15
CCDL,6,3,9
CCSR,48,2,50
CRCR,159,6,165
OAAA,16,0,16
OAAN,4,0,4
OABA,12,0,12
OABN,3,0,3
OAEA,4,0,4
OALN,2,0,2
OARN,6,0,6
OASA,8,0,8
OASN,2,0,2
OBAA,0,0,0
OBAN,0,0,0
OBBA,0,0,0
OBBN,0,0,0
OBEA,0,0,0
OBLN,0,0,0
OBNG,0,0,0
OBRN,0,0,0
OBSA,0,0,0
OBSN,0,0,0
OCNG,9,0,9
OCOR,0,0,0
OEAA,26,4,30
OEBA,11,7,18
OESA,10,2,12
OIDO,2,0,2
OIPM,0,0,0
OLAN,11,4,15
OLBN,5,4,9
OLLN,3,0,3
OLNG,9,0,9
OLRN,15,3,18
OLSN,6,0,6
OODL,35,3,38
ORAN,53,7,60
ORBN,31,5,36
ORLN,21,3,24
ORRN,52,8,60
ORSN,19,5,24
OSAA,0,0,0
OSAN,0,0,0
OSBA,0,0,0
OSBN,0,0,0
OSEA,0,0,0
OSLN,0,0,0
OSRN,0,0,0
OSSA,0,0,0
OSSN,0,0,0
SBRC,0,0,0
SBRn,0,0,0
SCRB,0,0,0
SCRn,0,0,0
SDWD,0,0,0
SGLR,0,0,0
SMTC,3,0,3
SMTT,3,0,3
SMVB,3,0,3
SRSR,47,3,50
SSDL,33,3,36
SSWM,0,0,0
STRI,10,0,10
STRP,36,0,36
SWDD,1,0,1
VDTR,85,14,99
VGAR,0,0,0
VGPR,0,0,0
VGSR,0,0,0
VGTR,0,0,0
VLAR,0,0,0
VLPR,0,0,0
VLSR,122,8,130
VLTR,0,0,0
VSCR,0,0,0
VTWD,56,10,66
VVDL,12,0,12
Total,1012,106,1118
