Operator,NON_EQ,EQ,TOTAL
CCCR,6,4,10
CCDL,3,3,6
CCSR,57,5,62
CRCR,172,23,195
OAAA,0,0,0
OAAN,16,12,28
OABA,0,0,0
OABN,9,12,21
OAEA,0,0,0
OALN,8,6,14
OARN,27,15,42
OASA,0,0,0
OASN,8,6,14
OBAA,0,0,0
OBAN,0,0,0
OBBA,0,0,0
OBBN,0,0,0
OBEA,0,0,0
OBLN,0,0,0
OBNG,0,0,0
OBRN,0,0,0
OBSA,0,0,0
OBSN,0,0,0
OCNG,7,2,9
OCOR,0,0,0
OEAA,25,15,40
OEBA,10,14,24
OESA,8,8,16
OIDO,5,0,5
OIPM,0,0,0
OLAN,0,0,0
OLBN,0,0,0
OLLN,0,0,0
OLNG,0,0,0
OLRN,0,0,0
OLSN,0,0,0
OODL,21,11,32
ORAN,32,13,45
ORBN,19,8,27
ORLN,15,3,18
ORRN,29,16,45
ORSN,16,2,18
OSAA,0,0,0
OSAN,0,0,0
OSBA,0,0,0
OSBN,0,0,0
OSEA,0,0,0
OSLN,0,0,0
OSRN,0,0,0
OSSA,0,0,0
OSSN,0,0,0
SBRC,0,0,0
SBRn,0,0,0
SCRB,0,0,0
SCRn,0,0,0
SDWD,0,0,0
SGLR,0,0,0
SMTC,5,0,5
SMTT,5,0,5
SMVB,2,0,2
SRSR,32,4,36
SSDL,33,4,37
SSWM,0,0,0
STRI,6,0,6
STRP,37,0,37
SWDD,0,0,0
VDTR,64,53,117
VGAR,0,0,0
VGPR,0,0,0
VGSR,0,0,0
VGTR,0,0,0
VLAR,2,4,6
VLPR,32,0,32
VLSR,66,15,81
VLTR,0,0,0
VSCR,0,0,0
VTWD,52,26,78
VVDL,13,6,19
Total,842,290,1132
