Operator,NON_EQ,EQ,TOTAL
CCCR,258,65,323
CCDL,15,4,19
CCSR,356,12,368
CRCR,427,20,447
OAAA,0,0,0
OAAN,28,1,29
OABA,0,0,0
OABN,18,3,21
OAEA,0,0,0
OALN,14,2,16
OARN,42,6,48
OASA,0,0,0
OASN,14,0,14
OBAA,0,0,0
OBAN,20,0,20
OBBA,0,0,0
OBBN,8,0,8
OBEA,0,0,0
OBLN,8,0,8
OBNG,12,0,12
OBRN,24,0,24
OBSA,8,0,8
OBSN,8,0,8
OCNG,28,0,28
OCOR,2,22,24
OEAA,165,31,196
OEBA,72,42,114
OESA,66,10,76
OIDO,16,2,18
OIPM,0,0,0
OLAN,12,3,15
OLBN,7,2,9
OLLN,3,0,3
OLNG,9,0,9
OLRN,15,3,18
OLSN,6,0,6
OODL,90,7,97
ORAN,93,12,105
ORBN,53,10,63
ORLN,44,4,48
ORRN,101,19,120
ORSN,32,10,42
OSAA,0,0,0
OSAN,0,0,0
OSBA,0,0,0
OSBN,0,0,0
OSEA,0,0,0
OSLN,0,0,0
OSRN,0,0,0
OSSA,0,0,0
OSSN,0,0,0
SBRC,1,1,2
SBRn,0,0,0
SCRB,0,0,0
SCRn,0,0,0
SDWD,0,0,0
SGLR,0,0,0
SMTC,4,2,6
SMTT,6,0,6
SMVB,3,0,3
SRSR,425,54,479
SSDL,203,24,227
SSWM,51,4,55
STRI,43,1,44
STRP,219,10,229
SWDD,0,3,3
VDTR,176,97,273
VGAR,18,3,21
VGPR,0,0,0
VGSR,0,0,0
VGTR,0,0,0
VLAR,5,3,8
VLPR,0,0,0
VLSR,375,25,400
VLTR,0,0,0
VSCR,0,0,0
VTWD,162,20,182
VVDL,32,2,34
Total,3797,539,4336
