Operator,NON_EQ,EQ,TOTAL
CCCR,487,93,580
CCDL,30,11,41
CCSR,446,25,471
CRCR,335,18,353
OAAA,0,0,0
OAAN,9,0,9
OABA,0,0,0
OABN,0,0,0
OAEA,0,0,0
OALN,0,0,0
OARN,0,0,0
OASA,0,0,0
OASN,0,0,0
OBAA,0,0,0
OBAN,33,2,35
OBBA,0,0,0
OBBN,13,1,14
OBEA,0,0,0
OBLN,13,1,14
OBNG,21,0,21
OBRN,41,1,42
OBSA,12,0,12
OBSN,14,0,14
OCNG,66,1,67
OCOR,2,34,36
OEAA,79,31,110
OEBA,27,39,66
OESA,33,11,44
OIDO,6,0,6
OIPM,0,0,0
OLAN,34,21,55
OLBN,13,20,33
OLLN,10,1,11
OLNG,33,0,33
OLRN,54,12,66
OLSN,21,1,22
OODL,138,23,161
ORAN,184,36,220
ORBN,108,24,132
ORLN,74,18,92
ORRN,194,36,230
ORSN,67,21,88
OSAA,0,0,0
OSAN,0,0,0
OSBA,0,0,0
OSBN,0,0,0
OSEA,0,0,0
OSLN,0,0,0
OSRN,0,0,0
OSSA,0,0,0
OSSN,0,0,0
SBRC,0,0,0
SBRn,0,0,0
SCRB,0,0,0
SCRn,0,0,0
SDWD,0,0,0
SGLR,0,0,0
SMTC,6,0,6
SMTT,6,0,6
SMVB,5,1,6
SRSR,386,15,401
SSDL,204,28,232
SSWM,0,0,0
STRI,117,5,122
STRP,228,4,232
SWDD,4,1,5
VDTR,124,95,219
VGAR,7,2,9
VGPR,0,0,0
VGSR,0,0,0
VGTR,0,0,0
VLAR,13,0,13
VLPR,0,0,0
VLSR,188,33,221
VLTR,0,0,0
VSCR,0,0,0
VTWD,125,21,146
VVDL,46,4,50
Total,4056,690,4746
