Operator,NON_EQ,EQ,TOTAL
CCCR,606,52,658
CCDL,74,2,76
CCSR,1228,23,1251
CRCR,1212,38,1250
OAAA,0,0,0
OAAN,149,3,152
OABA,0,0,0
OABN,112,2,114
OAEA,0,0,0
OALN,76,0,76
OARN,228,0,228
OASA,0,0,0
OASN,75,1,76
OBAA,0,0,0
OBAN,0,0,0
OBBA,0,0,0
OBBN,0,0,0
OBEA,0,0,0
OBLN,0,0,0
OBNG,0,0,0
OBRN,0,0,0
OBSA,0,0,0
OBSN,0,0,0
OCNG,53,0,53
OCOR,8,0,8
OEAA,495,55,550
OEBA,282,48,330
OESA,200,20,220
OIDO,3,0,3
OIPM,0,0,0
OLAN,118,7,125
OLBN,68,7,75
OLLN,25,0,25
OLNG,75,0,75
OLRN,144,6,150
OLSN,47,3,50
OODL,275,5,280
ORAN,326,4,330
ORBN,194,4,198
ORLN,133,1,134
ORRN,330,5,335
ORSN,130,2,132
OSAA,0,0,0
OSAN,0,0,0
OSBA,0,0,0
OSBN,0,0,0
OSEA,0,0,0
OSLN,0,0,0
OSRN,0,0,0
OSSA,0,0,0
OSSN,0,0,0
SBRC,0,0,0
SBRn,0,0,0
SCRB,0,0,0
SCRn,0,0,0
SDWD,0,0,0
SGLR,0,0,0
SMTC,13,0,13
SMTT,13,0,13
SMVB,12,0,12
SRSR,217,16,233
SSDL,256,0,256
SSWM,15,0,15
STRI,80,0,80
STRP,257,0,257
SWDD,10,0,10
VDTR,674,76,750
VGAR,0,0,0
VGPR,0,0,0
VGSR,0,0,0
VGTR,0,0,0
VLAR,0,0,0
VLPR,139,1,140
VLSR,1679,62,1741
VLTR,0,0,0
VSCR,0,0,0
VTWD,477,23,500
VVDL,127,0,127
Total,10635,466,11101
