Operator,NON_EQ,EQ,TOTAL
CCCR,23,1,24
CCDL,8,3,11
CCSR,78,3,81
CRCR,254,9,263
OAAA,0,0,0
OAAN,16,0,16
OABA,0,0,0
OABN,3,0,3
OAEA,0,0,0
OALN,10,0,10
OARN,30,0,30
OASA,0,0,0
OASN,2,0,2
OBAA,0,0,0
OBAN,0,0,0
OBBA,0,0,0
OBBN,0,0,0
OBEA,0,0,0
OBLN,0,0,0
OBNG,0,0,0
OBRN,0,0,0
OBSA,0,0,0
OBSN,0,0,0
OCNG,22,0,22
OCOR,1,15,16
OEAA,85,10,95
OEBA,50,7,57
OESA,36,2,38
OIDO,10,0,10
OIPM,0,0,0
OLAN,12,5,17
OLBN,4,5,9
OLLN,4,1,5
OLNG,15,0,15
OLRN,23,7,30
OLSN,6,0,6
OODL,43,6,49
ORAN,50,10,60
ORBN,27,9,36
ORLN,21,3,24
ORRN,52,8,60
ORSN,18,6,24
OSAA,0,0,0
OSAN,0,0,0
OSBA,0,0,0
OSBN,0,0,0
OSEA,0,0,0
OSLN,0,0,0
OSRN,0,0,0
OSSA,0,0,0
OSSN,0,0,0
SBRC,0,0,0
SBRn,0,0,0
SCRB,0,0,0
SCRn,0,0,0
SDWD,0,0,0
SGLR,0,0,0
SMTC,5,0,5
SMTT,5,0,5
SMVB,2,0,2
SRSR,146,4,150
SSDL,132,16,148
SSWM,7,0,7
STRI,32,2,34
STRP,146,2,148
SWDD,0,0,0
VDTR,90,63,153
VGAR,0,0,0
VGPR,0,0,0
VGSR,144,2,146
VGTR,0,0,0
VLAR,0,0,0
VLPR,0,0,0
VLSR,149,3,152
VLTR,0,0,0
VSCR,20,2,22
VTWD,101,1,102
VVDL,21,1,22
Total,1903,206,2109
