Operator,NON_EQ,EQ,TOTAL
CCCR,75,15,90
CCDL,15,4,19
CCSR,129,13,142
CRCR,271,38,309
OAAA,0,0,0
OAAN,19,0,19
OABA,0,0,0
OABN,12,0,12
OAEA,0,0,0
OALN,10,0,10
OARN,30,0,30
OASA,0,0,0
OASN,8,0,8
OBAA,0,0,0
OBAN,0,0,0
OBBA,0,0,0
OBBN,0,0,0
OBEA,0,0,0
OBLN,0,0,0
OBNG,0,0,0
OBRN,0,0,0
OBSA,0,0,0
OBSN,0,0,0
OCNG,25,1,26
OCOR,0,0,0
OEAA,77,41,118
OEBA,34,32,66
OESA,26,18,44
OIDO,7,0,7
OIPM,0,0,0
OLAN,16,8,24
OLBN,4,8,12
OLLN,7,0,7
OLNG,21,0,21
OLRN,37,5,42
OLSN,8,0,8
OODL,59,10,69
ORAN,71,12,83
ORBN,35,10,45
ORLN,29,5,34
ORRN,74,11,85
ORSN,22,8,30
OSAA,0,0,0
OSAN,0,0,0
OSBA,0,0,0
OSBN,0,0,0
OSEA,0,0,0
OSLN,0,0,0
OSRN,0,0,0
OSSA,0,0,0
OSSN,0,0,0
SBRC,1,0,1
SBRn,0,0,0
SCRB,0,0,0
SCRn,0,0,0
SDWD,0,0,0
SGLR,0,0,0
SMTC,3,3,6
SMTT,6,0,6
SMVB,1,0,1
SRSR,218,18,236
SSDL,117,26,143
SSWM,11,0,11
STRI,36,2,38
STRP,144,2,146
SWDD,0,3,3
VDTR,126,51,177
VGAR,0,0,0
VGPR,41,3,44
VGSR,81,9,90
VGTR,0,0,0
VLAR,0,0,0
VLPR,23,2,25
VLSR,150,41,191
VLTR,0,0,0
VSCR,8,0,8
VTWD,101,17,118
VVDL,22,1,23
Total,2210,417,2627
