Operator,NON_EQ,EQ,TOTAL
CCCR,80,3,83
CCDL,5,2,7
CCSR,66,9,75
CRCR,154,26,180
OAAA,0,0,0
OAAN,4,0,4
OABA,0,0,0
OABN,3,0,3
OAEA,0,0,0
OALN,2,0,2
OARN,6,0,6
OASA,0,0,0
OASN,2,0,2
OBAA,0,0,0
OBAN,0,0,0
OBBA,0,0,0
OBBN,0,0,0
OBEA,0,0,0
OBLN,0,0,0
OBNG,0,0,0
OBRN,0,0,0
OBSA,0,0,0
OBSN,0,0,0
OCNG,7,0,7
OCOR,0,0,0
OEAA,74,26,100
OEBA,39,21,60
OESA,36,4,40
OIDO,0,0,0
OIPM,0,0,0
OLAN,61,24,85
OLBN,31,20,51
OLLN,17,0,17
OLNG,47,4,51
OLRN,82,20,102
OLSN,26,8,34
OODL,51,17,68
ORAN,51,19,70
ORBN,30,12,42
ORLN,20,8,28
ORRN,48,22,70
ORSN,20,8,28
OSAA,0,0,0
OSAN,0,0,0
OSBA,0,0,0
OSBN,0,0,0
OSEA,0,0,0
OSLN,0,0,0
OSRN,0,0,0
OSSA,0,0,0
OSSN,0,0,0
SBRC,0,0,0
SBRn,0,0,0
SCRB,0,0,0
SCRn,0,0,0
SDWD,0,0,0
SGLR,0,0,0
SMTC,0,0,0
SMTT,0,0,0
SMVB,0,0,0
SRSR,30,6,36
SSDL,42,4,46
SSWM,0,0,0
STRI,11,1,12
STRP,45,1,46
SWDD,0,0,0
VDTR,83,25,108
VGAR,0,0,0
VGPR,0,0,0
VGSR,573,77,650
VGTR,0,0,0
VLAR,0,0,0
VLPR,0,0,0
VLSR,147,28,175
VLTR,0,0,0
VSCR,0,0,0
VTWD,53,19,72
VVDL,19,5,24
Total,1965,419,2384
