Operator,NON_EQ,EQ,TOTAL
CCCR,208,38,246
CCDL,32,4,36
CCSR,503,10,513
CRCR,870,12,882
OAAA,40,0,40
OAAN,161,0,161
OABA,3,0,3
OABN,24,0,24
OAEA,13,0,13
OALN,102,0,102
OARN,306,0,306
OASA,2,0,2
OASN,14,2,16
OBAA,0,0,0
OBAN,5,0,5
OBBA,0,0,0
OBBN,2,0,2
OBEA,0,0,0
OBLN,2,0,2
OBNG,3,0,3
OBRN,6,0,6
OBSA,2,0,2
OBSN,2,0,2
OCNG,38,0,38
OCOR,16,22,38
OEAA,128,30,158
OEBA,27,15,42
OESA,24,4,28
OIDO,19,0,19
OIPM,0,0,0
OLAN,8,2,10
OLBN,5,1,6
OLLN,2,0,2
OLNG,6,0,6
OLRN,11,1,12
OLSN,4,0,4
OODL,229,9,238
ORAN,164,18,182
ORBN,54,12,66
ORLN,79,7,86
ORRN,187,28,215
ORSN,42,2,44
OSAA,0,0,0
OSAN,0,0,0
OSBA,0,0,0
OSBN,0,0,0
OSEA,0,0,0
OSLN,0,0,0
OSRN,0,0,0
OSSA,0,0,0
OSSN,0,0,0
SBRC,0,0,0
SBRn,0,0,0
SCRB,2,0,2
SCRn,0,0,0
SDWD,0,0,0
SGLR,1,9,10
SMTC,14,0,14
SMTT,14,0,14
SMVB,6,0,6
SRSR,139,11,150
SSDL,126,0,126
SSWM,0,0,0
STRI,38,2,40
STRP,127,0,127
SWDD,1,0,1
VDTR,302,124,426
VGAR,0,0,0
VGPR,0,0,0
VGSR,393,8,401
VGTR,0,0,0
VLAR,0,0,0
VLPR,6,0,6
VLSR,1411,27,1438
VLTR,0,0,0
VSCR,0,0,0
VTWD,273,11,284
VVDL,93,0,93
Total,6289,409,6698
